Ime jedi,Avtor,Cas priprave,Cas kuhanja,Skupen cas,Dolzina navodil,Stevilo oseb,Energijska vrednost,Beljakovine,Ogljikovi hidrati,Mascobe,Vlaknine,Vitamin D,CSV
Sočni piščančji fileji z zelenjavo iz pečice,M. J.,15,30,45,1276,4,490.62,9.15,2.64,7.07,1.0,0.0,socni-piscancji-fileji-z-zelenjavo-iz-pecice
Tofujevi hrustavčki,Tjaša Ribič,15,30,45,746,3,892.41,4.83,49.08,1.87,8.57,0.0,tofujevi-hrustavcki
Gratinirane testenine s tuno,M. J.,5,35,40,1378,5,639.86,9.46,15.44,5.25,1.04,0.0,gratinirane-testenine-s-tuno
Pražen riž z zelenjavo in jajcem,M. J.,10,25,35,1364,4,705.55,4.96,25.3,4.1,1.62,0.34,prazen-riz
Špargljeva juha,M. J.,10,40,50,1216,6,255.35,3.27,3.59,3.51,1.72,0.0,spargljeva-juha-1
Polnjene bučke z ajdovo kašo,Su.S.,20,30,50,794,4,498.82,4.57,12.14,5.71,1.76,0.0,polnjene-bucke-z-ajdovo-kaso
Kokosov biskvit s kislo smetano,Sanja Sirk,10,20,30,879,8,1085.87,6.94,31.02,11.23,0.15,0.59,kokosovo-pecivo-s-kislo-smetano
Cheesecake brez peke z jagodami (iz MasterChef Slovenija),MasterChef,20,25,45,1581,12,1250.85,5.59,18.46,22.2,0.47,0.54,masterchef-cheesecake-z-jagodami
Nemški cheesecake (iz MasterChef Slovenija),MasterChef,44,80,124,1019,14,1050.69,7.1,26.17,11.9,0.34,0.2,masterchef-nemski-cheesecake
Newyorški cheesecake (iz MasterChef Slovenja),MasterChef,15,65,80,1522,12,1449.67,5.64,25.39,24.19,0.3,0.24,masterchef-newyorski-cheesecake
Skutina torta s čokoladnim 'pokrovom' (brez testa),Su.S.,15,50,65,760,12,927.89,8.66,20.65,10.65,0.54,0.32,skutina-torta-1
Skutino pecivo z borovnicami,M. J.,15,50,65,951,12,882.82,7.33,19.35,10.75,0.39,0.33,skutino-pecivo-z-borovnicami
Lečina palačinka,Tjaša Ribič,7,8,15,738,2,1418.12,23.34,56.96,0.93,28.01,0.0,lecina-palacinka
Piščančji frikase,M. J.,10,55,65,1505,4,545.8,13.85,1.61,6.45,0.29,0.0,piscancji-frikase
Oopsie kruh,M.J.,10,25,35,530,4,856.76,9.54,1.59,16.53,0.0,1.27,oopsie-kruh
Kuskus z bučkami in piščancem,M.J.,10,15,25,1091,4,797.64,11.75,20.72,5.58,1.49,0.0,kuskus-z-buckami-in-piscancem
Zapečen mladi krompir s skuto in kislo smetano,M. J.,10,50,60,1181,4,354.68,4.34,10.03,2.08,1.22,0.12,zapecen-mladi-krompir-s-skuto-in-kislo-smetano
Polenta z baziliko,Sanja Sirk,10,5,15,615,4,284.89,1.31,12.44,1.47,1.15,0.0,polenta-z-baziliko
