Ime jedi,Avtor,Cas priprave,Cas kuhanja,Skupen cas,Dolzina navodil,Stevilo oseb,Energijska vrednost,Beljakovine,Ogljikovi hidrati,Mascobe,Vlaknine,Vitamin D,CSV
Hrustljave palčke s sirom,Su.S.,10,10,20,508,4,1640.38,12.15,24.77,25.7,0.47,0.0,hrustljave-palcke-s-sirom
Postrv s pečenim krompirjem in paradižnikom iz pečice,M. J.,10,45,55,990,4,433.04,10.45,6.4,3.0,0.85,1.5,postrv-s-pecenim-krompirjem-in-paradiznikom-iz-pecice
Krostata z vanilijevo kremo in marmelado,Sanja Sirk,45,55,100,1648,8,1239.93,5.86,31.3,15.69,0.48,0.48,krostata-z-vanilijevo-kremo-in-marmelado-iz-grozdja
Pečen piščanec z brokolijem in sirom,M. J.,10,20,30,770,4,613.08,12.8,2.9,8.53,0.85,0.0,pecen-piscanec-z-brokolijem-in-sirom
Čokoladna torta z jagodami,M.J.,155,47,202,1829,8,1282.27,5.77,41.15,12.27,3.56,0.49,cokoladna-torta-z-jagodami
Blejska grmada,MasterChef,60,25,85,1844,8,931.15,5.27,29.57,8.43,0.99,0.88,blejska-grmada
Peresniki z lososom; šparglji in smetano,M. J.,15,15,30,1625,4,802.2,12.93,16.39,7.54,1.31,0.41,peresniki-z-lososom-sparglji-in-smetano
Svinjski zrezki po cigansko,M. J.,10,25,35,1205,4,826.67,13.8,1.68,14.04,0.12,0.12,svinjski-zrezki-po-cigansko
Pečena ovsena kaša s sadjem; čokolado in orehi,M. J.,10,40,50,1154,6,1064.54,6.33,34.13,13.83,5.04,0.13,pecena-ovsena-kasa-s-sadjem-cokolado-in-orehi
Dvobarvna čokoladna sladica v kozarcu (brez peke),Su.S.,20,3,23,864,6,1728.2,4.74,36.84,26.08,2.19,0.0,dvobarvna-cokoladna-sladica-v-kozarcu-brez-peke
Grška nagubana pita s špinačo (Patsavouropita),Su.S.,15,50,65,710,4,893.41,9.4,6.13,15.67,0.43,0.28,grska-nagubana-pita-s-spinaco-patsavouropita
Kolač z rabarbaro in jagodami,M. J.,15,45,60,1089,10,1054.37,4.06,32.55,10.85,0.91,0.3,kolac-z-rabarbaro-in-jagodami-1
Pecivo z jagodno kremo in svežimi jagodami,Su.s.,30,30,60,1135,4,801.86,3.7,21.56,9.44,0.45,0.57,pecivo-z-jagodno-kremo-in-svezimi-jagodami
Pečen sladki krompir z namazom iz fete iz špinače,M. J.,5,40,45,1072,4,948.47,7.17,5.78,19.12,0.6,0.0,pecen-sladki-krompir-z-namazom-iz-fete-iz-spinace
V pečici pečeni kaneloni s šunko in sirom,M. J.,0,30,30,1198,4,1230.01,12.36,27.34,13.71,0.87,0.0,v-pecici-peceni-kaneloni-s-sunko-in-sirom
Jogurtova strjenka z borovničevim želejem,Sanja Sirk,30,10,40,1587,8,821.15,10.63,12.35,11.6,0.37,0.0,jogurtova-strjenka-z-borovnicevim-zelejem
Čokoladna rolada s smetano in jagodami,M. J.,30,10,40,1600,8,760.32,6.56,24.47,5.37,1.64,0.75,cokoladna-rolada-s-smetano-in-jagodami
Pudingove jagodne rezine,Su.S.,15,5,20,1107,8,1182.82,4.2,37.9,13.44,1.87,0.0,pudingove-jagodne-rezine
Ajdova kaša s piščancem in gobami,M. J.,15,30,45,1355,4,768.98,11.41,16.94,7.55,2.43,0.0,ajdova-kasa-s-piscancem-in-gobami
Pečeno puranje stegno,M. J.,10,90,100,1717,3,448.19,14.69,2.47,3.27,0.29,0.0,peceno-puranje-stegno
Kokosove kroglice iz samo dveh sestavin (rafaelo kroglice),M. J.,30,0,30,846,10,2229.74,17.85,40.31,34.0,0.0,6.15,kokosove-kroglice-iz-samo-dveh-sestavin-rafaelo-kroglice
Pečen kostni mozeg s kislo repo in zeliščnimi kruhki,Anita Ferlin in Jure Galičič,20,40,60,1472,4,1267.71,3.29,24.8,20.22,1.1,0.4,masterchef-pecen-kostni-mozeg-s-kislo-repo-in-zeliscnimi-kruhki
Malinovo-jogurtova strjenka v kozarcu,M. J.,30,8,38,1688,8,497.81,5.58,20.68,0.7,2.09,0.0,malinova-in-jogurtova-strjenka-v-kozarcu
Goveje bržole Esterhazy (bržolni zrezki po madžarsko),M.J.,10,50,60,956,4,460.45,15.06,2.74,2.91,0.26,0.0,goveje-brzole-esterhazy-brzolni-zrezki-po-madzarsko-1544689518
Zebra torta brez peke (jagodna torta z belo čokolado),Su.S.,45,5,50,1716,12,928.01,7.45,22.79,10.53,1.79,0.0,zebra-torta-brez-peke-jagodna-torta-z-belo-cokolado
Hrustljava pita s sirom,M. J.,15,25,40,1462,4,1013.66,10.45,26.01,9.46,0.82,0.16,hrustljava-pita-s-sirom
Špageti carbonara s smetano,M.J.,5,10,15,895,4,1278.63,16.37,37.74,8.46,1.45,0.33,spageti-carbonara-s-smetano
Svinjski medaljoni v hrenovi omaki,Su.s.,10,15,25,766,4,551.58,14.23,1.8,6.49,0.28,0.0,svinjski-medaljoni-v-hrenovi-omaki
Zapečena nadevana jajca,M.J.,15,20,35,1049,4,814.5,10.66,4.61,13.25,0.29,1.58,zapecena-nadevana-jajca
Polnjena velikonočna jajčka,M.J.,20,0,20,449,4,1052.11,8.39,2.01,22.26,0.18,1.09,polnjena-velikonocna-jajcka
Velikonočna pinca,Sanja Sirk,100,30,130,1092,6,1740.92,7.36,59.7,15.2,1.57,0.36,velikonocna-pinca
Svinjski zrezki z mladim krompirjem iz pečice,T.G.,10,45,55,929,2,422.58,8.54,8.46,2.77,1.03,0.0,svinjski-zrezki-z-mladim-krompirjem-iz-pecice
Velikonočni kolač s čokoladnim zajčkom,M. J.,30,120,150,2350,12,1659.33,6.17,44.06,20.88,0.81,0.56,velikonocni-kolac-s-cokoladnimi-zajcki
Rolada s čokoladnim ganašem in pasijonkinim želejem,Petra Trofenik,10,50,60,1223,8,1114.12,6.48,35.45,10.24,5.32,0.46,masterchef-rolada-s-cokoladnim-ganasem-in-pasijonkinim-zelejem
Pečeni šparglji s šunko in sirom,M.J.,10,17,27,847,5,320.91,3.83,2.61,5.39,1.74,0.0,peceni-sparglji-s-sunko-in-sirom
Čemažev pesto,M.J.,10,3,13,587,8,879.98,9.15,6.26,16.38,2.65,0.0,cemazev-pesto
Piščančje prsi s slanino iz pečice,Su.S.,5,30,35,654,4,739.94,16.82,0.77,10.8,0.46,0.0,piscancje-prsi-s-slanino-iz-pecice
Skutina torta z jagodami,Su.S.,30,60,90,1092,8,503.67,5.08,18.69,2.15,0.78,0.33,skutina-torta-z-jagodami-brez-moke
Pečeni kruhki s sirom in tuninim namazom,M. J.,10,10,20,801,4,828.52,11.87,10.5,10.65,0.61,0.0,peceni-kruhki-s-sirom-in-tuninim-namazom
Losos v omaki s kaprami,M. J.,5,25,30,1379,4,842.99,18.53,1.65,12.39,0.12,0.71,losos-v-omaki-s-kaprami
Paris Brest z vanilijevo kremo in jagodami,M. J.,45,40,85,2556,8,1024.12,5.43,22.65,13.62,0.74,0.74,paris-brest-z-vanilijevo-kremo-in-jagodami
Piškoti z jagodami,M. J.,30,20,50,1476,8,1432.94,4.89,44.59,15.26,1.04,0.3,piskoti-z-jagodami
Pečena jajca s sirom in gobicami,M.J.,7,20,27,816,4,741.74,10.54,0.76,13.59,0.22,1.2,pecena-jajca-s-sirom-in-gobicami
Čokoladna rolada z marmelado in smetano,M. J.,20,15,35,1269,10,1204.95,4.78,23.43,19.33,0.6,0.6,cokoladna-rolada-s-smetano-in-marmelado
Polnozrnate testenine s pečenim paradižnikom; mascarponejem in špinačo,M. J.,5,45,50,1253,1,694.88,3.67,19.76,7.69,2.27,0.0,polnozrnate-testenine-s-pecenim-paradiznikom-mascarponejem-in-spinaco
Piščanec v smetanovi omaki s parmezanom in špinačo,Su.S.,15,15,30,896,4,850.86,11.96,2.64,15.44,0.47,0.0,piscanec-v-smetanovi-omaki-s-parmezanom-in-spinaco
Hitro čokoladno pecivo s skuto,Sanja Sirk,15,50,65,801,12,890.77,8.03,31.44,4.93,0.5,0.5,hitro-cokoladno-pecivo-s-skuto
Piščančja bedra z mladim krompirjem iz pečice,Su.S.,10,40,50,679,4,580.74,6.66,8.77,8.1,1.14,0.0,piscancja-bedra-z-mladim-krompirjem-iz-pecice
Govedina po toskansko s kremasto polento,M.J.,15,240,255,1126,6,624.34,20.11,4.31,4.02,0.58,0.18,govedina-po-toskansko-s-kremasto-polento
Nemška skutina torta,M. J.,35,90,125,1285,12,864.29,8.22,25.38,7.28,0.0,0.56,nemska-skutina-torta
Kalabrijska orehova torta,M. J.,20,40,60,913,12,1733.31,10.24,29.51,30.0,2.44,0.61,kalabrijska-orehova-torta
Ajdova rižota z zelenjavo; gobami in panceto,Su.S.,15,25,40,1332,4,987.76,7.44,22.01,13.47,3.12,0.2,ajdova-rizota-z-zelenjavo-gobami-in-panceto
Lignji v omaki z olivami in polenta z začimbami,M. J.,10,35,45,1536,2,452.75,7.92,11.52,2.7,0.99,0.0,lignji-v-omaki-z-olivami-in-polenta-z-zacimbami
Hitro pecivo z zdrobom in jabolki,M. J.,20,45,65,1248,8,1138.76,4.71,37.65,11.07,2.8,0.14,hitro-pecivo-z-zdrobom-in-jabolki
Polnozrnati špageti s kozicami in brokolijem,M.J.,20,10,30,1014,4,715.21,9.01,25.72,3.73,0.54,0.0,polnozrnati-spageti-s-kozicami-in-brokolijem
Palačinke z limonino kremo,M. J.,40,40,80,2325,4,1265.7,5.98,29.54,16.95,0.5,0.62,palacinke-z-limonino-kremo
Jagodna krostata z meringo,Sanja Sirk,40,50,90,1539,12,1016.42,4.96,31.29,10.3,0.5,0.11,jagodna-krostata-z-meringo
Zapečen krompir in cvetača z gorgonzolo,M. J.,15,50,65,959,4,453.92,4.71,8.07,5.61,1.39,0.27,zapecen-krompir-in-cvetaca-z-gorgonzolo
Kokosov mlečni riž z mangom,M. J.,5,30,35,504,4,951.19,2.22,24.27,13.31,1.17,0.0,kokosov-mlecni-riz-z-mangom
Zelenjavne polpete s kosmiči,M.J.,140,20,160,1175,4,578.44,7.95,17.42,6.41,3.64,0.19,zelenjavni-polpeti-s-kosmici
Piščanec po špansko z belim fižolom,M.J.,10,55,65,1460,6,514.21,10.97,7.56,4.54,1.46,0.0,piscanec-po-spansko-z-belim-fizolom
Hitri skutini njoki,M. J.,20,0,20,554,4,846.93,11.87,27.94,2.94,0.63,0.11,hitri-skutini-njoki
Avokadov namaz,T. G.,15,0,15,590,4,527.6,1.52,6.67,10.67,4.76,0.0,avokadov-namaz
Limonine rezine z maskarponejem,Su.S.,30,15,45,1016,8,1173.19,12.1,13.94,19.64,0.7,0.61,limonine-rezine-1
Krompir z brstičnim ohrovtom in slanino,M.J.,15,57,72,1334,4,510.45,3.35,10.31,7.09,1.93,0.06,krompir-z-brsticnim-ohrovtom-in-slanino
Piščanec v smetanovi omaki s papriko,Š.Z.,7,30,37,903,4,745.04,17.47,0.87,10.48,0.0,0.0,piscanec-v-smetanovi-omaki-s-papriko
Čokoladno-jogurtovo pecivo brez jajc,M.J.,10,25,35,1145,8,1481.01,3.38,40.8,19.36,0.97,0.0,cokoladno-jogurtovo-pecivo-brez-jajc
Soba rezanci z lososom,T. G.,5,20,25,848,2,1110.14,18.89,32.89,6.67,0.0,0.44,soba-rezanci-z-lososom
Njoki s špinačo; brokolijem in pršutom v sirovi omaki,M. J.,10,15,25,857,4,558.06,4.24,8.21,8.68,1.51,0.09,njoki-s-spinaco-brokolijem-in-prsutom-v-sirovi-omaki
Mandljeva rolada s kislo smetano in marmelado,M. J.,30,20,50,1551,8,1015.0,8.44,20.41,13.68,1.37,0.91,mandljeva-rolada-s-kislo-smetano-in-marmelado
Čokoladne palačinke s smetano in višnjami,M. J.,30,30,60,1469,4,758.48,5.16,31.49,3.17,1.81,0.36,cokoladne-palacinke-s-smetano-in-visnjami
Lovke orjaškega lignja s krompirjem iz pečice,T. G.,10,105,115,846,2,318.82,5.3,11.32,0.3,1.34,0.0,lovke-orjaskega-lignja-s-krompirjem-iz-pecice
Rižota s piščancem in brokolijem,Sanja Sirk,10,30,40,1149,4,1150.14,9.06,35.41,9.21,0.14,0.0,rizota-s-piscancem-in-brokolijem
Bougatsa,M. J.,15,35,50,2106,8,910.77,5.28,28.51,8.19,0.42,0.65,bougatsa
Zelenjavna enolončnica z ohrovtom,M. J.,15,30,45,1082,6,356.14,1.4,12.35,2.94,1.47,0.0,zelenjavna-ohrovtova-juha
Paradižnikova juha s špinačo in sirovimi tortelini,M. J.,5,15,20,817,4,484.42,3.75,18.54,2.47,0.89,0.0,paradiznikova-juha-s-spinaco-in-sirovimi-tortelini
Mandljevi blondinčki s koščki čokolade,Su.S.,10,30,40,556,4,1978.49,10.19,25.14,37.76,4.76,0.55,mandljevi-blondincki-s-koscki-cokolade
Lazanja z mletim mesom in orehi,M.J.,20,40,60,1920,6,1344.7,15.39,14.41,21.83,0.28,0.0,lazanja-z-mletim-mesom-in-orehi
Pečena jabolka s skuto in rozinami,M. J.,10,30,40,1011,4,350.24,3.83,13.42,1.17,1.49,0.11,pecena-jabolka-s-skuto-in-rozinami
Kokosova prosena kaša s sadjem in semeni,M. J.,5,20,25,940,2,389.82,1.24,9.78,5.28,0.93,0.0,kokosova-prosena-kasa-s-sadjem-in-semeni
Rižev narastek z rozinami; pomarančo in cimetom,M. J.,5,70,75,1679,8,704.96,4.22,21.52,6.42,0.3,0.83,rizev-narastek-z-rozinami-pomaranco-in-cimetom
Bananin kolaček v skodelici,M. J.,2,2,4,790,1,752.74,4.42,22.12,6.64,0.74,0.37,bananin-kolacek-v-skodelici
Testenine z lignji v pikantni paradižnikovi omaki,M. J.,10,45,55,1257,6,612.33,9.54,19.97,2.04,0.95,0.0,testenine-z-lignji-v-pikantni-paradiznikovi-omaki
Čokoladni kolač z mandlji in klementinami,M. J.,20,50,70,1417,12,1508.04,9.0,33.36,20.9,2.44,0.84,cokoladni-kolac-z-mandlji-in-klementinami
Ohrovt z gobami in polento na fižolovem pireju,Su.S.,10,15,25,1066,4,507.77,4.59,21.23,1.97,3.15,0.0,ohrovt-z-gobami-in-polento-na-fizolovem-pireju
Mečkanka ali gužvara (pita s sirom),M. J.,15,50,65,1229,6,822.83,8.42,16.95,9.42,0.26,0.37,guzvara-pita-s-sirom-sirova-gibanica
Toast s pečenim jajcem in sirom,M. J.,5,10,15,561,4,900.4,13.8,11.4,11.0,0.6,1.0,toast-s-pecenim-jajcem-in-sirom
Cvetačna kremna juha,M.J.,7,20,27,659,4,150.75,1.25,3.06,1.61,0.99,0.26,cvetacna-kremna-juha
Bombardino,M.J.,5,5,10,437,1,1827.07,0.0,0.0,0.0,0.0,0.0,bombardino
Trganci s kislo smetano in slanino,M. J.,30,5,35,1490,4,1325.49,7.62,33.39,15.42,0.91,0.18,trganci-s-kislo-smetano-in-slanino
Svinjski kotleti s kislim zeljem in jabolkom,M. J.,5,60,65,1099,4,366.48,7.52,4.61,3.55,1.13,0.0,svinjski-kotleti-s-klislim-zeljem-in-jabolkom
Zelenjavna juha s piščančjimi cmočki,M. J.,15,55,70,1362,4,441.7,5.91,8.78,4.43,0.96,0.09,zelenjavna-juha-s-piscancjimi-cmocki
Sladica s penino v kozarcu,Su.S.,20,5,25,1148,4,2027.11,29.31,35.54,24.32,0.0,9.35,sladica-s-penino-v-kozarcu
Polžki iz listnatega testa z lososom; špinačo in sirom,M. J.,10,25,35,1074,8,1049.31,13.37,18.99,12.47,0.79,0.11,polzki-iz-listnatega-testa-z-lososom-spinaco-in-sirom
Beljakova rolada z mascarponejem; belo čokolado in malinami,Su.S.,35,25,60,1317,8,1042.95,3.92,24.52,14.66,2.4,0.0,beljakova-rolada-z-mascarponejem-belo-cokolado-in-malinami
Porketa (italijanska svinjska rolada),Su.S.,20,210,230,1099,8,1051.52,12.74,3.3,19.92,0.7,1.65,porketa-porchetta-italijanska-svinjska-rolada
Zimska enolončnica s šitakami,B.R.,10,30,40,1135,2,366.85,3.59,10.01,3.08,1.54,0.0,zimska-enoloncnica-s-sitakami
Gratinirana zimska zelenjava,M.J.,15,42,57,781,6,472.88,2.97,12.76,5.16,2.19,0.0,gratinirana-zimska-zelenjava
Svinjski zrezki v omaki s slanino in gobami,M. J.,15,20,35,1009,5,772.78,17.15,2.85,10.26,0.22,0.07,svinjski-zrezki-v-omaki-s-slanino-in-gobami
Kruhov venec z masleno česnovo polivko,@vibrantplate,70,20,90,1656,8,1542.77,11.73,54.8,9.7,1.74,0.0,kruhov-venec-z-masleno-cesnovo-polivko
Pudingove rezine z limoninim prelivom,M. J.,20,30,50,1174,12,1531.18,3.17,65.3,10.04,0.45,0.09,pudingove-rezine-z-limoninim-prelivom
Flank steak z gorčično omako,M. J.,5,25,30,1543,4,770.36,18.14,0.74,10.86,0.0,0.0,flank-steak-z-gorcicno-omako
Kuhano belo vino,M. J.,25,10,35,464,8,390.2,0.0,13.25,0.0,0.51,0.0,kuhano-belo-vino
Pomarančna torta z medeno čokoladno glazuro,M. J.,15,135,150,2037,8,1288.84,6.47,34.16,16.45,3.51,0.36,pomarancna-torta-z-medeno-cokoladno-glazuro
Cimetove rolice na hitro,@vibrantplate,5,15,20,795,10,1533.1,4.01,43.68,19.47,1.04,0.0,cimetove-rolice-na-hitro
Narastek iz kislega zelja; slanine in krompirja,M. J.,10,65,75,1338,4,369.41,1.91,9.78,3.99,1.69,0.11,narastek-iz-kislega-zelja-slanine-in-krompirja
Krhki piškoti z vzorcem,Sanja Sirk,50,17,67,666,6,1857.82,7.26,46.61,24.68,1.77,0.32,krhki-masleni-piskoti-z-vzorcem
S čokolado polnjeni masleni piškoti,Su.S.,60,13,73,1227,5,1877.4,6.28,53.55,23.58,4.41,0.22,krhki-masleni-piskoti-polnjeni-s-cokoladnim-namazom
Lečni kari (curry) s kokosovim mlekom,M. J.,5,40,45,1063,4,138.99,0.55,4.11,1.58,0.71,0.0,lecni-kari-curry-s-kokosovim-mlekom
Orehovo-pomarančne rezine,Su.S.,35,25,60,1101,12,1271.98,8.0,31.49,16.32,0.98,0.82,orehovo-pomarancne-rezine
Sočen kokosov kolač z limono,M. J.,10,45,55,1557,10,1639.58,5.83,45.92,20.16,1.21,0.36,socen-kokosov-kolac-z-limono
Porova juha s topljenim sirom in mletim mesom,M. J.,10,30,40,926,4,769.48,9.32,6.49,12.52,0.55,0.0,porova-juha-s-topljenim-sirom-in-mletim-mesom
Fižolova mineštra,Sanja Sirk,10,90,100,1187,4,344.43,2.71,16.75,0.0,2.71,0.0,fizolova-minestra-1-1
Enchilada s piščancem in fižolom,M.J.,15,40,55,778,4,896.55,14.69,12.55,10.5,1.51,0.0,enchilada-s-piscancem-in-fizolom
Pečen losos s špinačnim nadevom,M. J.,15,15,30,810,4,855.67,17.95,1.03,13.23,0.21,0.62,pecen-losos-s-spinacnim-nadevom
Ješprenjčkova enolončnica s čičeriko in fižolom,M.J.,10,60,70,1244,4,592.33,5.16,24.75,2.14,5.52,0.0,jesprenjckova-enoloncnica-s-ciceriko-in-fizolom
Kokosova čokoladna potica,B.R.,160,60,220,1936,5,1736.44,7.65,50.56,19.86,1.38,0.32,kokosova-cokoladna-potica
Čokoladna pita z jabolki in pudingom,M. J.,85,45,130,2171,8,847.85,2.17,29.31,7.86,0.42,0.13,pita-z-jabolki-in-vanilijevo-kremo
Panakota s kakijevim pirejem,M. J.,15,5,20,1241,4,941.73,2.46,54.66,0.0,0.0,0.0,panna-cotta-s-kakijevim-pirejem
Čokoladne kroglice s pomarančo,M. J.,30,140,170,1442,8,1089.72,7.49,25.96,13.94,2.61,0.7,cokoladne-kroglice-s-pomaranco
Pečena (nočna) ovsena kaša s suhim sadjem,M. J.,5,45,50,653,8,344.47,3.98,6.7,3.59,0.19,0.97,hitra-pecena-nocna-ovsena-kasa-s-suhim-sadjem
Praženo zelje s klobaso,M.J.,10,25,35,1068,4,637.06,4.85,4.85,11.99,1.03,0.0,prazeno-zelje-s-klobaso
Lečna mineštra s kokosovim jogurtom,@barbarellagchef,10,40,50,446,4,209.7,1.62,9.24,0.0,1.85,0.0,rjava-lecna-juha-s-kokosovim-jogurtom
Rogljički s skuto in šunko,Sanja Sirk,120,25,145,1360,8,1487.66,10.18,46.86,12.3,1.71,0.4,rogljicki-s-skuto-in-sunko
Kvašene jabolčne rožice,Su.S.,180,35,215,1955,8,820.98,4.91,30.85,4.58,0.98,0.16,kvasene-jabolcne-rozice
Chili con carne s pivom in čokolado,T. G.,10,150,160,1343,2,592.33,8.32,16.7,4.16,3.65,0.0,chili-con-carne-s-pivom-in-cokolado
Preprost jabolčni kolač,M. J.,15,35,50,1106,6,844.25,3.64,23.99,9.37,0.31,0.39,preprost-jabolcni-kolac-1
Ajdovi štruklji z orehi,M. J.,30,30,60,1095,4,1757.24,10.34,53.36,19.73,5.82,0.09,ajdovi-struklji-z-orehi
Juha s pečeno hokaido bučo,@barbarellagchef,10,40,50,497,4,109.91,1.0,5.99,0.0,0.0,0.0,juha-s-peceno-hokaido-buco
Čokoladno-lešnikova smoothie skleda,M. J.,10,0,10,611,1,971.27,1.64,23.14,14.26,2.81,0.0,cokoladno-lesnikova-smoothie-skleda
Lečna juha z zelenjavo in začimbami,M.J.,20,45,65,1046,4,649.9,8.35,24.02,2.35,10.08,0.0,lecna-juha-z-zelenjavo-in-zacimbami
Svinjski zrezki s kislim zeljem iz pečice,Su.S.,10,110,120,837,5,547.27,7.97,2.73,8.81,1.07,0.46,svinjski-zrezki-s-kislim-zeljem-iz-pecice
Zloženka s kislim zeljem; slanino in smetano,M. J.,25,80,105,1462,6,771.95,5.83,15.49,10.27,0.91,0.18,zlozenka-s-kislim-zeljem-slanino-in-kislo-smetano
Telečji zrezki v gobovi omaki,M. J.,10,45,55,1742,4,664.42,16.16,0.97,8.89,0.0,0.0,telecji-zrezki-v-gobovi-omaki
Skutini zdrobovi cmoki s sadno omako,M. J.,20,15,35,1164,4,495.89,6.58,16.53,1.68,0.65,0.13,skutini-cmoki-z-zdrobom-in-borovnicevo-omako
Pesin kolač z jagodami,@barbarellagchef,10,40,50,637,8,1730.5,5.57,49.32,21.0,1.67,0.0,pesin-kolac-z-jagodami
Pistacijevi piškoti,Su.S.,15,15,30,614,4,1671.38,10.03,50.4,19.0,4.22,0.0,pistacijevi-piskoti
Čokoladno-kostanjevo pecivo brez moke,Su. S.,15,45,60,864,8,1581.09,4.23,28.36,26.95,1.5,0.62,cokoladno-kostanjevo-pecivo-brez-moke
Polnozrnati špageti z mesnimi kroglicami v omaki,M. J.,15,35,50,1805,4,711.53,8.2,18.07,7.05,0.5,0.05,polnozrnati-spageti-z-mesnimi-kroglicami-v-omaki
Karamelni jabolčni cheesecake v kozarcu,M. J.,30,15,45,1336,4,1219.55,2.97,30.6,16.94,0.89,0.0,karamelni-jabolcni-cheesecake-v-kozarcu
Osso buco v omaki,M. J.,15,210,225,1875,4,329.45,10.68,2.72,1.51,0.54,0.0,osso-buco-v-omaki
Čokoladna torta s švicarsko masleno kremo in lešnikovim krokantom,Sanja Sirk,50,50,100,2882,8,1697.95,5.45,44.04,22.98,1.62,0.44,cokoladna-torta-s-svicarsko-masleno-kremo-in-lesnikovim-krokantom
Kremna juha iz kodrolistnega ohrovta in krompirja,M. J.,10,25,35,800,4,242.76,2.04,12.05,0.0,1.85,0.0,kremna-juha-iz-kodrolistnega-ohrovta-in-krompirja
Zdrave bučne palačinke brez moke in mleka,Su.S.,5,15,20,703,4,827.18,6.58,7.66,15.77,1.23,0.61,zdrave-bucne-palacinke-brez-moke-in-mleka
Curry z rdečo lečo in sladkim krompirjem,M. J.,15,60,75,1953,4,666.09,6.72,24.57,2.72,7.76,0.0,curry-z-rdeco-leco-in-sladkim-krompirjem
Veganski čokoladni bananov kruh,@barbarellagchef,10,50,60,692,5,1308.17,3.64,43.99,13.27,3.09,0.0,veganski-cokoladni-bananov-kruh
Tortiljin zvitek z jajci; šunko in kislo smetano,M. J.,5,20,25,1371,2,672.66,10.65,3.15,9.44,0.0,1.21,tortiljini-zvitki-z-jajcem-sunko-in-kislo-smetano
Juha za imunski sistem,Su.S.,15,25,40,580,4,430.12,9.98,4.25,4.16,0.74,0.0,juha-za-imunski-sistem
Pecivo s kosmiči; kokosom; brusnicami in čokolado,M. J.,40,30,70,1278,8,1320.39,8.35,57.91,9.31,6.02,0.27,pecivo-s-kosmici-kokosom-brusnicami-in-cokolado
Cvetačni zrezki s hrustljavo parmezanovo skorjico,M. J.,10,30,40,1217,2,694.33,2.92,6.71,13.41,1.72,0.0,cvetacni-zrezki-s-hrustljavo-parmezanovo-skorjico
Krompirjev langaš,M.J.,30,35,65,1163,8,1156.5,8.31,54.38,1.47,3.05,0.0,krompirjev-langas-1446716003
Juha iz pečene buče s smetano,M.J.,15,40,55,1021,6,124.43,1.09,6.68,0.0,0.06,0.0,juha-iz-pecene-buce-s-smetano
Romunska mesna obara (tochitura),M. J.,20,55,75,1088,4,823.75,12.68,3.96,13.18,0.5,0.0,romunska-mesna-obara-tochitura
Čokoladni šarkelj,M. J.,10,55,65,1497,8,1705.65,5.44,43.89,22.87,0.72,0.62,cokoladni-sarkelj
Prosena kaša s piščancem in gobami iz enega lonca,Su. S.,10,35,45,844,4,673.75,8.42,12.31,8.14,1.56,0.0,prosena-kasa-s-piscancem-in-gobami-iz-enega-lonca
Brokolijeve polpete s čičeriko,M. J.,10,15,25,1064,4,970.9,8.58,21.44,10.84,3.61,0.23,brokolijeve-polpete-s-ciceriko
Špageti s tuno; kaprami in olivami,M. J.,5,15,20,936,4,593.25,7.88,18.88,2.94,1.21,0.35,spageti-s-tuno-kaprami-in-olivami
Golaž iz piščančjih želodcev s korenčkom in grahom,M. J.,15,100,115,1633,4,557.02,10.04,4.37,7.39,0.92,0.0,golaz-iz-piscancjih-zelodcev-s-korenckom-in-grahom
Kiš (slana pita) z riževo osnovo,Su.S.,10,50,60,649,6,750.53,6.81,8.77,11.94,0.0,0.65,kis-slana-pita-z-rizevo-osnovo
Ajdova torta z marmelado,M. J.,15,45,60,1478,10,1541.93,7.61,38.96,21.21,3.17,0.58,ajdova-torta-z-marmelado
Tortelini s smetano in šunko,M. J.,3,12,15,1086,4,1283.27,16.76,45.81,6.99,4.82,0.12,tortelini-s-smetano-in-sunko
Brokolijev narastek,M. J.,15,47,62,726,4,663.46,8.55,12.2,7.52,1.03,0.4,brokolijev-narastek
Nočna ovsena kaša s figami; brusnicami in orehi,M. J.,10,0,10,594,2,1179.64,4.15,15.36,23.53,2.91,0.0,nocna-ovsena-kasa-s-figami-brusnicami-in-orehi
Zapečene testenine z mletim mesom in zelenjavo,M.J.,15,80,95,1648,4,897.76,10.36,12.37,12.8,0.6,0.33,zapecene-testenine-z-mletim-mesom-in-zelenjavo
Hruškov ponvičnik,M.J.,15,35,50,1067,8,581.95,2.78,22.98,3.34,2.07,0.32,hruskov-ponvicnik
Narastek iz ajdove kaše s skuto in gobicami,Su. S.,25,45,70,891,4,865.17,10.31,14.19,11.54,1.76,0.26,narastek-iz-ajdove-kase-s-skuto-in-gobicami
Rižota z bučo in ječmenom,@vibrantplate,15,40,55,857,3,193.43,0.97,7.18,1.38,0.28,0.0,rizota-z-buco-in-jecmenom
Krompirjeve polpetke s šunko,M.J.,20,25,45,1059,6,513.88,3.79,13.92,4.94,1.73,0.08,krompirjeve-polpetke-s-sunko
Krhka torta s kislo smetano,M. J.,45,45,90,1412,12,1147.17,5.72,23.68,16.9,0.25,0.38,krhka-torta-s-kislo-smetano
Kruhov narastek s skuto,M. J.,15,50,65,752,4,760.78,9.33,10.77,9.87,0.0,0.72,kruhov-narastek-s-skuto
S kvinojo in orehi polnjene pečene paprike,M. J.,10,90,100,1681,4,686.34,5.36,14.91,8.87,2.44,0.0,s-kvinojo-in-orehi-polnjene-pecene-paprike
