Ime jedi,Cena,Promocijska cena
Segedin golaž s češkimi cmoki,15.8848,15.8848
Gratinirana cvetača,8.4725,7.7125
Čokoladne rezine z banano,11.1103,11.1103
Zapečeni skutino-špinačni cmoki (gnudi) v paradižnikovi omaki,16.0675,15.545
Karpati torta s sadjem,16.558,16.558
Porova kremna juha,10.11,10.0075
Hitra mesna pita brez testa,8.2893,8.2893
Rafaelo krofi,19.2581,19.2581
Zelenjavna juha s klobaso,11.583,11.583
Svinjski ragu po italijansko,9.59845,9.42345
Topli sendvič s tuno,9.945,9.595
Limonin kolač z rikoto,7.85,7.85
Pečena jajca v začinjeni omaki s fižolom,9.9425,9.9425
Hitro in sočno skutino pecivo,11.3925,11.2592
Zapečena prosena kaša s suhimi slivami,6.65833,6.65833
Krompirjeva musaka,9.58125,9.45063
Hitre miške z jabolkom in rozinami,11.42,11.27
Bananine rezine s skutino kremo,12.3209,12.1209
Ajdov kruh z orehi,5.83025,5.83025
Hrustljavi zdrobovi kroketi,7,7
Njoki z omako carbonara,7.119,7.119
Piščančji paprikaš s smetano,9.18913,9.18913
Čokoladno-kavni mousse,2.90925,2.90925
Mlečno testo za pico,6.11,6.11
Hitro skutino pecivo brez moke,7.98975,7.98975
Hitro skutino pecivo brez moke,7.98975,7.98975
Piščanec v smetanovi omaki,6.63587,6.46087
Kruhovi cmoki s kremasto gobovo omako,15.456,15.356
Kokosovi razpokančki z limono,7.19178,7.19178
Praznična sladica s penino (brez peke),4.38375,3.98375
Pečen losos s smetanovo omako,12.745,12.745
Torta iz beljakov in pudinga,5.855,5.855
Sarma iz pečice,13.175,13.175
Pomarančne rezine z mascarponejem,9.6775,9.6775
Sočna pečenka z zelenjavno omako,9.81167,9.695
Kvašeni pujski s hrenovkami,10.055,10.055
Čokoladni piškoti s kremo,13.8428,13.8428
Fileji postrvi v masleni česnovi omaki,7.795,7.4
Božični punč,7.1765,7.154
Košarice z jabolki in rumovo kremo z belo čokolado,10.7731,10.6731
Božična tortica v kozarcu (brez peke),8.34975,8.34975
Njoki v smetanovi omaki s pršutom,6.14875,6.14875
Praznični marmorni kolač,10.6907,10.6907
Slana božična drevesa,4,4
Zapečeno kislo zelje s piščancem (podvarak),10.11,9.74
Božični kolač s suhim sadjem,11.8823,11.6211
Praznični cheesecake v kozarcu,7.24833,7.24833
Sončna skutina pogača (štajerska gibanica),11.667,11.667
Svinjska rolada z zeljem in slanino,8.17,8.17
Tiramisu kroglice,7.00096,7.00096
Sočna makova torta s čokolado,8.56908,8.56908
Praznična sladica v kozarcu,11.5413,11.5413
Kokosovi rogljički s čokolado,7.02375,7.02375
Čokoladno-pomarančna smetanova torta,12.2891,12.2808
Brezglutenski piškoti alfajores,9,9
Brstični ohrovt z mandlji in čebulo,6.3725,6.3725
Široki rezanci s kremno orehovo omako,7,7
Svinjski medaljoni v kremni gobovi omaki,8.71275,8.64375
Piškoti orehi,9.198,9.198
Tartiflette,7.7926,7.7926
Snežne kepe z vanilijevo omako,7.31667,7.31667
Miklavževo medeno pecivo,11.0475,11.0475
Parklji,12.0619,12.0619
Skutini (sirovi) štruklji z drobtinami,10,10
Pečeno kislo zelje s kotleti in klobasami,7.3725,7.3725
Lečina pečenka,21.2558,20.0075
Sladko božično drevo iz listnatega testa,4.44,4.44
Mehki medenjaki z limonino glazuro,11.1975,11.1975
Butterscotch puding,9.56862,9.56862
Pečeno zelje s sirovo omako,7.0357,7.0357
Jabolčno pecivo s pudingom,10.3023,10.2923
Vratovina s kislo repo in pire krompirjem iz pečice,13.0396,13.0396
Azijska solata s teriyaki prelivom,13.558,13.033
Žličniki z jajcem,9,9
Piškoti s kosmiči in jabolki,9.96188,9.91188
Londonske rezine,10.0475,10.0475
Masleni piškoti,6.055,6.001
Grenadirmarš,5.3725,5.3725
Zrezki v omaki z ocvrtimi skutinimi kroglicami,17.6535,17.6535
Pomarančni razpokančki,8.48875,8.48875
Piščanec v omaki s kislo smetano in papriko,7.995,7.995
Sladki krompir v pečici,5,5
Rezanci alla Papalina,9.3725,9.3725
Zdravi mafini z jabolki,7.14822,6.50022
Pečena prosena kaša z brusnicami in rozinami,9.7,9.7
Sailsbury zrezek v gobovi omaki,13.4285,13.3352
Kremne rezine za lene gospodinje (z zdrobom),7.05042,7.05042
Odlično testo za pico,5,5
Kokosova babka s čokolado,11.5958,11.5958
Venec s kakiji,8.57665,8.57665
Fižolova enolončnica,15.745,15.745
Bujta repa,9.55875,9.55875
Skutin zdrobov kolač z jabolki,10.3075,10.2975
Zdrav jabolčni drobljenec (crumble),6.8296,6.38085
Mlinci s piščancem iz pečice,8.282,8.282
Kvašeni orehovi štruklji,17.66,17.66
Dušeno rdeče zelje z jabolki,5.86825,5.307
Brizgani piškoti,7.57167,7.57167
Pečena raca z jabolki,3.24833,3.23833
Rahli zdrobovi žličniki (knedlčki),4.5225,4.35
Puranja rolada s kostanjevim nadevom,11.3725,11.3725
Dobri domači mlinci (pečeni v pečici),6,6
Zdrobov narastek,7.44,7.44
Dušeno rdeče zelje s suhimi slivami,7.3725,7.3725
Česnov kruh s sirom,7.4725,7.4725
Pečena jajca po florentinsko,6.864,6.864
Kakijeva rolada,8.156,8.156
Damini poljubčki (piškoti baci di dama),6,6
Toskanska fižolova enolončnica z ješprenjem,10.8296,10.8296
Svinjski kotleti v čebulni omaki,7.60825,7.60825
Kremna juha iz hokaido buče,6.9305,6.8305
Nočne cimetove rolice,9.17417,9.17417
Snickers kolački (cupcakes),15.4252,15.4252
Buhtlji,9.58687,9.58687
Čokoladni netopirčki,7.4094,7.4094
Colcannon,4.31142,4.31142
Pečeno kislo zelje z mletim mesom in rižem,8.576,8.576
Bučna torta,10.4563,9.99594
Švedske princeske (semlor),12.5865,12.5865
Štefani pečenka,14.3036,14.3036
Kostanjeva krema z višnjami in belo čokolado,10.494,10.099
Sirov burek,5.03525,5.03525
Omleta v pečici,9,9
Česnova juha s krompirjem,8.1057,8.1057
Sočen skutin narastek z rozinami,11.88,11.78
Belgijski vaflji,7.9,7.9
V pečici pečen kostanj,1,1
Hitro čokoladno pecivo s skuto,10.2177,10.2177
Ričet s prekajenim mesom,11.3271,11.2979
Jabolčne rožice,4.47,4.32
Kinder rezine,8.265,8.13333
Skutin narastek z jabolki,9.00424,8.76424
Granola s suhim sadjem,11,11
Ješprenjčkova rižota z gobami,10,10
Nevidna jabolčna pita,10.895,10.7633
Pirin kruh brez gnetenja s semeni,6,6
Čija puding s karameliziranimi jabolki,9.8841,9.5841
Ješprenjčkova enolončnica z jurčki,17.3725,17.3725
Bučni njoki z žajbljem,5.995,5.995
Pečena svinjska ribica z medom in gorčico,5.3725,5.3725
Dušeno sladko zelje,8.105,8.105
Pečene mesne kroglice s sirom in paradižnikovo omako,8.3725,8.3725
Jabolčna pita s kislo smetano,13.4759,13.4659
Angelske solze,9.43643,9.43643
Česnovi polžki,9.16375,8.93042
Ranch omaka,9.06312,8.71312
Piščančja jetrca v omaki,8.84725,8.84725
Jesenska ovsena kaša,7.252,7.237
Harmonika krompirček,3,3
Piščančja piccata,12,12
Goveji zrezki v gobovi omaki,7.045,7.045
Pica kocke,12.745,12.745
Čokoladna torta z višnjami,7.79167,7.79167
Dušena jabolka s praženimi lešniki in smetano,6.19925,6.19925
Pečen fižol s feto,10,10
Pecivo Louise,10.8058,10.8058
Piščanec z lisičkami in špinačo v smetanovi omaki,9.16413,9.16413
Prebranec s slanino,5.855,5.855
Ocvrte paprike s šunko in sirom,7,7
Pavlova s pečenimi hruškami,7.01219,7.01219
Bučna rolada s kislo smetano,6.57062,6.57062
Pica brez kvasa,4.285,4.285
Pečen piščanec z zelenjavo in krompirjem,8.3725,8.3725
Čokoladna torta z mascarpone kremo,12.0946,12.0946
Polpeti s sladkim krompirjem (pečeni v pečici),6.0325,6.0325
Enolončnica s krompirjem in koruzo,6.9959,6.9959
Testenine s pečeno feto,6.24975,6.24975
Jogurtovo pecivo s slivami,6.82,6.82
Slastna jabolčna pita iz pekača,14.0475,14.0475
Palačinke s skuto; jabolki in cimetom,7.46875,7.31875
Bučni pire,0.209,0.18
Ombolo v testu,10.686,10.686
Pasulj na hitro,11.43,10.48
Čokoladni piškoti z Nutello,7.532,7.532
Pečen svinjski hrbet s česnom,6.5875,6.5875
Mandljeva torta Ikea,8.0166,8.0166
Mlečni riž,4.22,4.22
Krompirjeva zloženka z mletim mesom in paradižnikom,10.3725,10.3725
Čokoladni browniji brez slabe vesti,10.1053,10.1053
Svinjski zrezki s slanino; praženo zelenjavo in sirom,7.35875,7.35875
Cheesecake (sirova torta) s slivami,16,16
Sladka zvita pita iz vlečenega testa (soufra),7.59463,7.59463
Klasična pizza,11.0733,10.7033
Jabolčna pita naših babic,9.56625,9.55625
