Ime izdelka,Znamka,Cena,Promocijska cena,Kolicina,Enota,Kategorija
Študentska hrana,ODLIČNO,3.59,0,1.0,g, MEŠANICE SUHO SADJE; OREŠČKI;…
Gobica Glitzi,VILEDA,3.89,0,1.0,kos, KRPE; GOBE IN ŠČETKE ZA ČIŠČENJE
Kokošja pašteta Junior,ARGETA,5.29,0,1.0,g, MESNI NAREZKI IN MESNE PAŠTETE
Mešani hlebec Hribovc,ŽITO,4.69,0,1000.0,g, DRUGE VRSTE SVEŽEGA KRUHA
Rdeča pesa,NATURETA,2.79,0,1000.0,g, RDEČA PESA
Sadni čaj,TEEKANNE,2.69,0,1.0,g, SADNI ČAJI
Leskovački čevapčiči,AVE GRILL,7.59,5.69,1.0,g, MLETO MESO
Sirni namaz,ABC,2.49,0,1.0,g, MLEČNI IN SIRNI NAMAZI
Zelena paprika,S&Z BREZ BZ,2.79,0,250.0,g, PAPRIKA; PARADIŽNIK; FEFERONI
Čokoladno jajce Kinder Surprise,KINDER,1.31,0,1.0,g, ČOKOLADNI IZDELKI IN NAPOLITANKE
Tunina Insalatissime,RIO MARE,7.29,0,1.0,g, KONZERVIRANE RIBE Z ZELENJAVO
Rdeča pesa,NATURETA,1.69,0,1.0,g, RDEČA PESA
Janževec,JANŽEVEC,4.79,0,1.0,l, BELA VINA
Mešani kruh Krjavelj,PEKARNA GROSUPLJE,4.69,3.75,1000.0,g, DRUGE VRSTE SVEŽEGA KRUHA
Mini rolade z vanilijo,GORENJKA,3.99,0,1.0,g, ROLADE
Keksi s čokolado in smetano Abbracci,MULINO BIANCO,3.79,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Jogurtov napitek Ego Slim & Vital,EGO SLIM&VITAL,1.19,0,1.0,g, SADNI JOGURTI
Tuna v lastnem soku,MERCATOR,3.34,0,1.0,kos, RIBJE KONZERVE
Mleta kava Espresso,BARCAFFE,5.49,4.89,1.0,g, KLASIČNA TURŠKA KAVA
Sir Grana Padano,IGOR,6.99,0,1.0,g, TRDI SIRI: PARMEZAN; EMENTALER
Izotonični napitek,SOLA,0.99,0,1.0,l, ENERGIJSKI NAPITKI IN IZOTONIČNE PIJAČE
Sosedov kruh s semeni,PEKARNA GROSUPLJE,4.79,0,1.0,g, DRUGE VRSTE SVEŽEGA KRUHA
Bonboniera Lindor mešane kroglice,LINDT,6.89,0,1.0,g, BONBONIERE
Bonboniera,MERCI,5.69,0,1.0,g, BONBONIERE
Piščančji medaljoni,PERUTNINA PTUJ,10.59,0,1.0,g, ZAMRZNJENE JEDI IZ MESA
Ekstra deviško oljčno olje,GEA,18.94,0,1.0,l, OLJČNO OLJE
Tuna v oljčnem olju,MERCATOR,3.59,0,1.0,g, RIBJE KONZERVE
Napolitanke s temno čokolado Mignon,MANNER,3.69,0,1.0,g, NAPOLITANKE IN VAFLI
Slovenske jagode v košarici,NERAZPOREJENI ARTIKLI,4.99,0,1.0,g, DRUGO SVEŽE SADJE IN PAKETI MEŠANEGA SADJA
Fileti skuše v mediteranskem olju,DELAMARIS,2.64,1.99,1.0,g, RIBJE KONZERVE
Smetana za kavo,MEGGLE,0.89,0,1.0,kos, STERILIZIRANA SMETANA ZA KAVO
Piščančja nabodala,PIVKA,4.99,0,1.0,kos, PERUTNINA
Dodatek jedem z zelenjavo,VEGETA,2.39,0,1.0,g, DODATKI JEDEM
Kefir Krepki suhec,KREPKO,2.79,0,1.0,g, KISLO MLEKO IN KEFIR
Navadni jogurt,MU,1.39,0,1.0,g, NAVADNI JOGURTI
Čokolada Choco&Keks,MILKA,3.79,0,1.0,g, ČOKOLADA
Citronska kislina,GORIMPEX,5.69,0,1.0,g, INSTANT TORTE; PECIVA
Žvečilni gumi spearmint,ORBIT,3.99,2.79,1.0,g, ŽVEČILNI GUMIJI
Sveži sir v slanici Fitaki,KAESEREI CHAMPIGNON,3.89,2.69,1.0,g, SVEŽI SIRI: FETA; KAJMAK; MOZZARELLA
Gel za strojno pomivanje posode,FINISH,21.19,15.79,1.0,l, ZA STROJNO POMIVANJE POSODE
Keksi Cuor Di Mela z jabolčnim polnilom,MULINO BIANCO,3.89,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Slovenski cvetlični med,MERCATOR,11.19,0,1.0,g, MED 
Skuša z zelenjavo Weekend,DELAMARIS,5.59,4.19,1.0,g, RIBJE KONZERVE
Parboiled riž,ZLATO POLJE,4.29,0,1000.0,g, PARBOILED RIŽ
Mešani oreščki z rozinami in brusnicami,ODLIČNO,3.79,0,1.0,g, MEŠANICE SUHO SADJE; OREŠČKI;…
Sarajevski čevapčiči,AVE GRILL,7.59,5.69,1.0,g, MLETO MESO
Suhi dateljni,BIMED,1.59,0,1.0,g, SUHO SADJE
Grenčica,JAGERMEISTER,24.49,0,1.0,l, GRENČICE IN GRENKI LIKERJI
Vinski kis,RENŠKI HRAM,1.89,0,1.0,l, VINSKI KIS
Zeleni čaj,TEEKANNE,2.69,0,1.0,g, ZELENI; ČRNI IN BELI ČAJ
Razmaščevalec Meglio,MEGLIO,3.79,0,0.001,l, RAZMAŠČEVALCI
Prebranec,NATURETA,3.89,0,1.0,g, ZELENJAVNA PRIPRAVLJENA HRANA
Piščančja fit nabodala Piknik,PERUTNINA PTUJ PIKNIK,4.99,0,1.0,kos, PERUTNINA
Jajca M,JATA,3.99,0,1.0,kos, JAJCA
Čokolada s celimi lešniki,MILKA,3.79,0,1.0,g, ČOKOLADA
Mleta kava Filter,BARCAFFE,5.29,0,1.0,g, KLASIČNA TURŠKA KAVA
Topljeni sir Klasik,ZDENKA,4.19,0,1.0,g, TOPLJENI SIR
Vrečke za smeti,ALUFIX,3.29,0,1.0,kos, VSE ZA SMETI
Piščančja stegna brez kosti in kože Natur Premium,PERUTNINA PTUJ NATUR PREMIUM,5.69,0,1.0,kos, PERUTNINA
Žvečilni gumi Peppermint,ORBIT,3.99,2.79,1.0,g, ŽVEČILNI GUMIJI
Srednjezrnati riž Sant' Andrea,ZLATO POLJE,3.94,2.75,1000.0,g, OSTALE VRSTE RIŽA
Mini lahka Poli salama,POLI,2.59,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Piščančji file zrezki Natur Premium,PERUTNINA PTUJ NATUR PREMIUM,5.99,4.49,1.0,kos, PERUTNINA
Nektar,FRUCTAL,2.69,0,1.0,l, DRUGI OKUSI
Sir za žar,MU CUISINE,3.99,0,1.0,g, SVEŽI SIRI: FETA; KAJMAK; MOZZARELLA
Vrhniški keksi s čokolado,ADAMIČ,6.49,0,1.0,g, DOMAČI KEKSI
Hrenovke Golica s sirom brez ovoja,PERUTNINA PTUJ GOLICA,2.49,0,1.0,kos, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Slani krekerji,PAVESI,2.29,0,1.0,g, KREKERJI
Čokoladne napolitanke,KRAŠ,8.69,0,1.0,g, NAPOLITANKE IN VAFLI
Mleta kava,LOKA,1.39,0.97,1.0,g, KLASIČNA TURŠKA KAVA
Maslo,MU CUISINE,3.49,2.79,1.0,g, MASLO IN MASLENI NAMAZI
Sladoled,PLANICA,7.99,0,1.0,l, DRUŽINSKI SLADOLEDI
Jajca izpod kamniških planin M,JATA,3.79,0,1.0,kos, JAJCA
Sveže vlečeno testo,PEČJAK,2.99,2.29,1.0,g, HLAJENO TESTO
Čokolada Oreo,MILKA,3.79,0,1.0,g, ČOKOLADA
Instant kava Cronat Gold,JACOBS,12.49,0,1.0,g, INSTANT KAVA
Beli hlebec,MERCATOR,2.79,0,1000.0,g, SVEŽ BEL KRUH
Pečena slanina v kosu,MERCATOR,12.99,0,0.5,kos, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Slovenski krompir Polonca,NERAZPOREJENI ARTIKLI,3.29,0,1000.0,g, KORENJE; KOLERABA; KROMPIR
Vrečke za smeti z vrvico,ALUFIX,4.99,4.24,1.0,kos, VSE ZA SMETI
Grenčica,JAGERMEISTER,17.99,0,1.0,l, GRENČICE IN GRENKI LIKERJI
Slano mešano pecivo Maxi Mix,CHIO,3.49,0,1.0,g, OSTALO SLANO PECIVO
Ribani sir Mu Cuisine,MU CUISINE,4.49,0,1.0,g, POLTRDI SIRI
Vrečke za smeti z vrvico,ALUFIX,3.79,0,1.0,kos, VSE ZA SMETI
Čokolino,LINO,10.19,7.99,1000.0,g, OTROŠKE KAŠICE BREZ MLEKA
Toaletni papir,PALOMA DELUXE,6.39,0,1.0,kos, TOALETNI PAPIR
Slovensko čajno maslo,POMURSKE MLEKARNE,3.79,0,1.0,g, MASLO IN MASLENI NAMAZI
Slovenski mladi krompir,NERAZPOREJENI ARTIKLI,0.99,0,250.0,g, KORENJE; KOLERABA; KROMPIR
Jogurt Ego,EGO,1.09,0,1.0,g, NAVADNI JOGURTI
Cvetlični med,MEDEX,11.39,9.29,1.0,g, MED 
Sončnično olje,ZVEZDA,2.79,0,1.0,l, SONČNIČNO OLJE
Gorčica,MERCATOR,1.39,0,1.0,g, KETCHUP; AJVAR; GORČICA
Mleta kava Selection,BARCAFFE,4.49,0,1.0,g, KLASIČNA TURŠKA KAVA
Piščančji file Natur Premium,PERUTNINA PTUJ NATUR PREMIUM,5.99,0,1.0,kos, PERUTNINA
Bonboniera,RAFFAELLO,3.99,0,1.0,g, BONBONIERE
Polnozrnati pirin kruh,PEKARNA GROSUPLJE,3.79,0,1.0,g, DRUGE VRSTE SVEŽEGA KRUHA
Mini lahka Poli salama,POLI,5.79,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Instant kava Classic Mild,NESCAFE,8.89,7.11,1.0,g, INSTANT KAVA
Mešano čajno pecivo,BRODNIK,9.65,0,1.0,g, DOMAČI KEKSI
Maslo,MEGGLE,3.99,0,1.0,g, MASLO IN MASLENI NAMAZI
Jogurt Slim&Vital,EGO SLIM&VITAL,1.19,0,1.0,g, NAVADNI JOGURTI
Napolitanke Rumovi srčki,MANNER,3.69,0,1.0,g, NAPOLITANKE IN VAFLI
Trajno pol posneto Alpsko mleko,ALPSKO MLEKO,1.09,0,1.0,l, TRAJNO MLEKO
Zobna pasta Fresh&Minty,AQUAFRESH,3.89,0,0.001,l, ZOBNE PASTE
Piščančje hrenovke brez ovoja,NJAMI,2.49,1.99,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Čistilo za čiščenje odtokov Mr. Muscle,MR.MUSCLE,6.59,0,1.0,l, ČISTILA ZA GOSPODINJSKE ODTOKE IN GREZNICE
Čokolino,LINO,17.99,0,1.0,g, OTROŠKE KAŠICE BREZ MLEKA
