Ime izdelka,Znamka,Cena,Promocijska cena,Kolicina,Enota,Kategorija
Juha Toskana,DIMMIDISI,2.79,0,1.0,g, SENDVIČI
Abrazivno čistilo Stelex limona,STELEX,1.75,0,0.001,l, ABRAZIVNA IN POSEBEJ MOČNA UNIVERZALNA ČISTILA
Ajvar,BAKINA TAJNA,7.39,0,1.0,g, KETCHUP; AJVAR; GORČICA
Bela zaseka,KODILA,3.99,0,1.0,g, DRUGE ŽIVALSKE MAŠČOBE IN NAMAZI
Sir mozzarella burrata,LATTICINI MOLISANI,4.49,0,1.0,g, SVEŽI SIRI: FETA; KAJMAK; MOZZARELLA
Abrazivno čistilo Stelex limona,STELEX,1.75,0,0.001,l, ABRAZIVNA IN POSEBEJ MOČNA UNIVERZALNA ČISTILA
Ajvar,BAKINA TAJNA,7.39,0,1.0,g, KETCHUP; AJVAR; GORČICA
Mesni ragu,PODRAVKA,5.99,0,1.0,g, MESNE OMAKE
Mehčalec,SILAN,10.19,7.49,1.0,l, MEHČALCI ZA PERILO
Ptujska posebna salama,PERUTNINA PTUJ,7.39,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Ekstra rastlinsko olje,GEA,5.89,0,1.0,l, RASTLINSKO OLJE
Limonik sok,ITALEMON,3.19,0,0.001,l, LIMONINI SOKOVI IN KONCENTRATI
Gin Pink,BEEFEATER,19.99,15.99,1.0,l, GIN; VODKA; TEQUILA IN OSTALE BELE ŽGANE PIJAČE
Sladko-kisla omaka,SHAN' SHI,2.99,0,1.0,g, AZIJSKA PREHRANA
Pekoča omaka Bhut Jolokia,ČILI PIPP,11.79,0,1.0,g, OSTALA TUJA PREHRANA
Suho mešano sadje,SEEBERGER,5.19,0,1.0,g, MEŠANICE SUHO SADJE; OREŠČKI;…
Specialni baterijski vložek Varta,VARTA,3.79,0,1.0,kos, BATERIJSKI VLOŽKI
Napolitanke,KOESTLIN,5.39,0,1.0,g, NAPOLITANKE IN VAFLI
Rezine sira Dimar,ZELENE DOLINE,3.19,0,1.0,g, SIRI REZINE
Šampon za lase proti prhljaju Classic Clean 2v1,HEAD&SHOULDERS,4.49,0,0.001,l, ŠAMPONI
Gel za britje,MAN MAX,1.99,0,0.001,l, BRIVSKA KOZMETIKA IN GALANTERIJA
Kremni liker Baileys,BAILEY S,28.99,0,1.0,l, SADNI; KREMNI IN DRUGI LIKERJI
Nepekoči feferoni,MERCATOR,2.29,0,1.0,g, DRUGA KONZERVIRANA IN VLOŽENA ZELENJAVA
Sivi pinot,JERUZALEM,6.79,6.09,1.0,l, BELA VINA
Mleta kumina,KOTANYI,1.39,0,1.0,g, ZAČIMBE ZA KUHO
Ekstra breskov džem,BONNE MAMAN,3.89,0,1.0,g, MARMELADE IN DŽEMI
Črni poper v zrnu,MAESTRO,2.29,0,1.0,g, ZAČIMBE ZA PEKO
Zobna ščetka Sensitive,SIGNAL,3.79,0,1.0,kos, ZOBNE ŠČETKE
Bonboni Tutto Mare,TROLLI,2.09,0,1.0,g, BONBONI 
Bio koruzni vaflji,FIORENTINI,1.74,1.57,1.0,g, KRUH; PREPEČENCI; TOASTI
Zmes za fino kvašeno pecivo Hit MIx,ŽITO,3.34,2.89,1000.0,g, NAMENSKA MOKA
Omaka Teriyaki za praženje,BLUE DRAGON,2.39,0,1.0,g, AZIJSKA PREHRANA
Šampon za lase Gliss Ultimate Color,GLISS,3.99,0,0.001,l, ŠAMPONI
Hladno stiskano sončnično olje,MERCATOR RID,7.09,0,0.001,l, SONČNIČNO OLJE
Mlečna kašica z jabolki in žitnimi kosmiči z okusom vanilije,FRUTEK,2.19,0,1.0,g, SADNE KAŠICE
Grah,LEDO,2.19,0,1.0,g, ZAMRZNJENA ZELENJAVA
Arašidovo maslo Crunchy,PROSERIES,5.99,0,1.0,g, PREHRANSKA DOPOLNILA
Zeliščni čaj za lepši dan,MERCATOR RID,4.39,0,1.0,g, ZELIŠČNI ČAJI
Rebrasti čips,LAYS,2.49,0,1.0,g, ČIPS
Bio koruzni čips,AMAIZIN,2.19,0,1.0,g, TUJA PREHRANA
Krpe za suho brisanje prahu,SWIFFER,11.99,0,1.0,kos, ČISTILA ZA POHIŠTVO
Šampinjoni v kisu,DROGA,2.49,0,1.0,g, GOBE
Mini koruzni vaflji,FIORENTINI,2.49,0,1.0,g, ČIPSI; FLIPSI; POP CORN
Skuša z zelenjavo v lastnem soku,EVA,2.59,1.99,1.0,g, RIBJE KONZERVE
Kamniška gorčica,NATURETA,4.99,0,1000.0,g, KETCHUP; AJVAR; GORČICA
Bonboniera Collection,FERRERO,9.09,0,1.0,g, BONBONIERE
Aroma malina,ETOL,2.09,0,0.001,l, MRVICE; OKRASKI IN DRUGI DODATKI ZA PEKO
Keksi brez glutena,GRISBI,3.59,0,1.0,g, BREZGLUTENSKA ŽIVILA
Gel za britje Mach 3,GILLETTE,4.79,0,0.001,l, BRIVSKA KOZMETIKA IN GALANTERIJA
Zvezek A4,STREET,1.69,0.99,1.0,kos, ZVEZKI
Dišavne perlice Unstoppables Fresh,LENOR,8.39,5.99,1.0,g, MEHČALCI ZA PERILO
Mortadela,KRAŠ,12.99,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Bio kislo mleko,KREPKO,0.95,0,1.0,kos, KISLO MLEKO IN KEFIR
Piščančja bedra BKK in Natur premium,PERUTNINA PTUJ NATUR PREMIUM,6.59,4.99,1.0,g, PERUTNINA
Otroško hladilno mazilo Makra,MAKRA,6.79,0,0.001,l, NEGA OBRAZA IN TELESA
Detergent za pranje perila,ARIEL,31.99,19.19,1.0,kos, DETERGENTI ZA PRANJE PERILA
Damski vložki Pantyliner,NATURA FEMINA,4.49,3.59,1.0,kos, DAMSKI VLOŽKI IN TAMPONI
Brandy,STOCK 84,20.19,0,1.0,l, COGNAC; BRANDY
Teran Elite,TERAN,6.49,0,1.0,l, RDEČA VINA IN ROSE
Jedilna žlica Modern,HOME,4.49,0,1.0,kos, PORCELAN; KERAMIKA
Ekstra deviško oljčno olje Slovenske Istre,SLOVENSKA ISTRA,14.99,0,0.001,l, OLJČNO OLJE
Bio fitnes muesli,BIOTOP,2.99,0,1.0,g, MÜESLI
Leskovačke pleskavice,ANTON,6.49,0,1.0,g, MLETO MESO
Čvrsto kislo mleko,KGZ ŠKOFJA LOKA,1.45,0,1.0,g, KISLO MLEKO IN KEFIR
Sadni jogurt vanilija,KGZ ŠKOFJA LOKA,1.79,0,1.0,l, SADNI JOGURTI
Gin,HENDRICK'S,35.99,0,1.0,kos, GIN; VODKA; TEQUILA IN OSTALE BELE ŽGANE PIJAČE
Hladno stiskano repično olje,GEA,5.99,0,1.0,l, RASTLINSKO OLJE
Šampon suhi,SCHAUMA,3.99,0,0.001,l, ŠAMPONI
Hrana za mačke Poesie s piščancem in zelenjavo,VITAKRAFT,0.89,0,1.0,g, MAČJA HRANA V KONZERVAH IN ENKRATNI OBROKI
Zelenjavna juha z orientalskimi testeninami,SEIKEBON,1.99,0,1.0,g, INSTANT JUHE
Bio pirina polnozrnata moka,VILA NATURA,2.89,0,1000.0,g, MOKA
Sladoled v lončku,MAGNUM,8.49,0,0.001,l, DRUŽINSKI SLADOLEDI
Balzam za ustnice Vanilla Buttercream,LABELLO,3.29,0,1.0,g, NEGA USTNIC
Brivnik Blue3 Cool,GILLETTE,11.49,0,1.0,kos, BRIVSKA KOZMETIKA IN GALANTERIJA
Začimbna mešanica Grill za kotlete,KOTANYI,2.19,0,1.0,g, DODATKI JEDEM
Čistilo za pohištvo,DAX,1.99,0,0.001,l, ČISTILA ZA POHIŠTVO
Liker Limonce,LIMONCE,11.49,0,1.0,l, SADNI; KREMNI IN DRUGI LIKERJI
Sladoled v lončku,PLANICA,3.79,0,0.001,l, DRUŽINSKI SLADOLEDI
Bio riževo koruzni kruhki z morsko soljo,BYODO,3.79,0,1.0,g, KRUH; PREPEČENCI; TOASTI
Ekstra slivov džem,BONNE MAMAN,3.89,0,1.0,g, MARMELADE IN DŽEMI
Hladno stiskano repično olje,GEA,5.99,0,1.0,l, RASTLINSKO OLJE
Gin,HENDRICK'S,35.99,0,1.0,kos, GIN; VODKA; TEQUILA IN OSTALE BELE ŽGANE PIJAČE
Šampon suhi,SCHAUMA,3.99,0,0.001,l, ŠAMPONI
Krema za kremšnite,DOLCELA,4.19,0,1.0,g, PUDINGI IN KREME
Sladka koruza,BONDUELLE,2.59,0,1.0,g, DRUGA KONZERVIRANA IN VLOŽENA ZELENJAVA
Desertni preliv piškotek,SLADKI GREH,3.49,0,1.0,g, MRVICE; OKRASKI IN DRUGI DODATKI ZA PEKO
Deodorant roll on Dry Comfort,NIVEA,4.59,0,0.001,l, DEODORANTI (SPRAYI; STICKI…)
Posoda za pecivo Proemba pvc 10/1 1xuporabo,PRO EMBA,6.08,0,1.0,kos, PVC KROŽNIKI; KOZARCI; PRIBOR; SLAMICE
Bio mini vaflji iz črnega riža,FIORENTINI,2.59,0,1.0,g, ČIPSI; FLIPSI; POP CORN
Začimbna mešanica Grill za kotlete,KOTANYI,2.19,0,1.0,g, DODATKI JEDEM
Čistilo za pohištvo,DAX,1.99,0,0.001,l, ČISTILA ZA POHIŠTVO
Bio pirina polnozrnata moka,VILA NATURA,2.89,0,1000.0,g, MOKA
Šolski set,AERO,19.99,13.99,1.0,kos, PISALNE POTREBŠČINE IN SETI
Chufalinko,MERCATOR RID,5.29,0,1.0,g, KOSMIČI IN DRUGA ŽITA ZA ZAJTRK
Čistilo za kuhinje Smac Inox,SMAC,3.79,0,0.001,l, ČISTILA ZA PEČICE IN KUHALNE PLOŠČE
Široki rezanci s koruzo,ZLATO POLJE,2.29,0,1.0,g, REZANCI
Pisani zdrobljeni poper,KOTANYI,1.29,0,1.0,g, ZAČIMBE ZA PEKO
Osvežilec Power 5 Magnolia Triopack,DOMESTOS,7.59,3.99,1.0,kos, OBEŠANKE ZA WC ŠKOLJKE
Sirup,MERCATOR RID,8.29,0,1.0,l, SIRUPI
Proteini v prahu 100 % Natural Whey,PROTEINI.SI,16.99,0,1.0,g, PREHRANSKA DOPOLNILA
Liker Limonce,LIMONCE,11.49,0,1.0,l, SADNI; KREMNI IN DRUGI LIKERJI
Sladoled v lončku,PLANICA,3.79,0,0.001,l, DRUŽINSKI SLADOLEDI
Inčuni v olivnem olju,PELAGOS,9.29,0,1.0,g, DRUGA HLAJENA PRIPRAVLJENA HRANA
Nepekoči feferoni,NATURETA,2.59,0,1.0,g, DRUGA KONZERVIRANA IN VLOŽENA ZELENJAVA
Rebula,KRISTANČIČ,10.99,0,1.0,l, BELA VINA
Jajčni široki rezanci R4,NATURTEST,3.64,3.27,1.0,g, REZANCI
Ledena kava,CAFEMIO,1.95,1.69,0.001,l, MLEKO Z OKUSOM
Zemlja za grobove,GRAMOFLOR,4.59,0,1.0,l, ZEMLJA ZA RASTLINE
Deodorant Sport Men roll on,FA,3.99,0,0.001,l, DEODORANTI (SPRAYI; STICKI…)
Okrasne cvetlice,DR.OETKER,2.89,0,1.0,kos, MRVICE; OKRASKI IN DRUGI DODATKI ZA PEKO
Mandljev napitek,BIO ZONE,2.39,0,1.0,l, NAPITKI IN DESERT
Proteinski napitek,Z BREGOV,2.19,0,1.0,g, MLEKO Z OKUSOM
Gel za prhanje,PALMOLIVE,6.29,4.72,0.001,l, TUŠIRANJE IN KOPANJE
Deodorant Greenmohito & cedwood sprej,AXE,5.09,3.05,0.001,l, DEODORANTI (SPRAYI; STICKI…)
Instant kava Crema,BARCAFFE,7.99,0,1.0,g, INSTANT KAVA
Nektar,FRUCTAL JUNIOR,0.59,0,1.0,l, DRUGI OKUSI
Gazirana pijača,PIPI,0.89,0.79,1.0,l, GAZIRANE PIJAČE Z OKUSOM POMARANČE
Led žarnica,PHILIPS,3.29,0,1.0,kos, ŽARNICE
Čips s sirom in čebulo,LORENZ,2.29,1.79,1.0,g, ČIPS
Pašteta z olivami,KODILA,4.19,0,1.0,g, SVEŽI MESNI IZDELKI (KLOBASE; KRVAVICE; TLAČENKE; PAŠTETE…)
Juha z rakci in orientalskimi testeninami,SEIKEBON,1.99,1.59,1.0,g, INSTANT JUHE
Plenice Violeta cotton feeling,VIOLETA,16.99,0,1.0,kos, PLENICE
Sir v slanici,DIVAN GARDEN,5.49,0,1.0,g, SVEŽI SIRI: FETA; KAJMAK; MOZZARELLA
Ekstra deviško oljčno olje,BASSO,15.29,0,0.001,l, OLJČNO OLJE
Beli šink Slim & Fit,SLIM&FIT,6.99,5.58,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Šampon za lase proti prhljaju Menthol,HEAD&SHOULDERS,4.49,3.59,0.001,l, ŠAMPONI
Sadni jogurt vanilija,SIRARSTVO KRAMAR,1.89,0,1.0,g, SADNI JOGURTI
Zaseka s prekajenim mletim mesom,AVE,3.29,0,1.0,kos, DRUGE ŽIVALSKE MAŠČOBE IN NAMAZI
Orehov nadev,AGONA,2.69,0,1.0,g, MLETI OREŠČKI; MLETO IN KANDIRANO SADJE
Omaka Guacamole Dip,CANTINA MEXICANA,4.09,0,1.0,g, MEHIŠKA PREHRANA
Sir Burrata Bufala,PONTE,2.99,0,1.0,g, SVEŽI SIRI: FETA; KAJMAK; MOZZARELLA
Fino maslo,MU,3.49,0,1.0,g, MASLO IN MASLENI NAMAZI
Sir edamec v rezinah,VEPO,7.99,0,1.0,g, SIRI REZINE
Detergent za pranje perila Mountain spring,ARIEL,18.99,0,1000.0,g, DETERGENTI ZA PRANJE PERILA
Karte Enka Oblak,OBLAK,7.99,0,1.0,kos, DRUŽABNE IGRE
Pleče,MERCATOR,9.39,0,1100.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Skutna pita s sadjem,MERCATOR,6.39,0,1.0,kos, TORTE IN SVEŽE ROLADE
Gazirana pijača,PIPI,1.59,0,1.0,l, GAZIRANE PIJAČE Z OKUSOM POMARANČE
Alkoholni kis,MERCATOR,1.99,0,1.0,l, KIS ZA VLAGANJE
Mlečni namaz,MERCATOR,0.59,0,1.0,g, MLEČNI IN SIRNI NAMAZI
Mlečna čokolada s kokosom in stevijo Luxury,BALANCE,2.79,0,1.0,g, OSTALA DIABETIČNA IN DIETETIČNA PREHRANA
Večnamenska posoda s pokrovom,ALUFIX,2.29,0,1.0,kos, ALU PLADNJI; POSODE
Napolitanke,LASTA,2.39,0,1.0,g, NAPOLITANKE IN VAFLI
Keksi s čokolado,LASTA,2.49,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Aromatizirana pijača Fashion,CHENET,3.79,2.99,1.0,l, PENEČA VINA
Rebula,GORIŠKA BRDA-VINO,2.19,0,1.0,l, PENEČA VINA
Aroma vanilija,ETOL,2.09,0,0.001,l, MRVICE; OKRASKI IN DRUGI DODATKI ZA PEKO
Modri pinot,KRISTANČIČ,14.69,0,1.0,l, RDEČA VINA IN ROSE
Plenice Nature,LUMPI,7.49,0,1.0,kos, PLENICE
Jagodni džem,DARBO,4.19,0,1.0,g, OSTALA DIABETIČNA IN DIETETIČNA PREHRANA
Bela čokolada z mandlji in jagodo,LINDT,3.99,0,1.0,g, ČOKOLADA
Mini tlačenka,MERCATOR RID,4.99,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Kondomi ultra thin,LIFESTYLES,8.29,0,1.0,kos, KONDOMI 
Šampon za lase Pantene Repair&Protect,PANTENE,5.19,0,0.001,l, ŠAMPONI
Plenice Violeta Duble Care Air Dry 4 Maxi (7-18 kg),VIOLETA,16.99,0,1.0,kos, PLENICE
Mleti sladkor v mlinčku,WIENER,2.69,2.39,1.0,g, MLETI SLADKOR
Modri pinot,KRISTANČIČ,14.69,0,1.0,l, RDEČA VINA IN ROSE
Rebula,GORIŠKA BRDA-VINO,2.19,0,1.0,l, PENEČA VINA
Aroma vanilija,ETOL,2.09,0,0.001,l, MRVICE; OKRASKI IN DRUGI DODATKI ZA PEKO
Zeliščna ustna voda z okusom ingverja in mete,ANGELICA,3.79,0,0.001,l, ZOBNE PASTE
Mini tlačenka,MERCATOR RID,4.99,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Ekstra deviško oljčno olje,FILIPPO BERIO,17.54,0,1.0,l, OLJČNO OLJE
Jušne testenine obročki brez glutena,SCHAR,2.29,0,1.0,g, BREZGLUTENSKA ŽIVILA
Salama Poli,POLI,12.19,0,1.0,kos, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Čipke za pecivo,PAPSTAR,1.39,0,1.0,kos, PAPIRNATA GALANTERIJA
Sprej za kopalnico Deobad,ARF,3.59,2.98,0.001,l, ČISTILA ZA KOPALNICE  
Pecilni prašek,REGINA,0.26,0,1.0,g, VANILIJ SLADKOR; PECILNI PRAŠEK
Blazinice za dojenje To.To,TO.TO,3.79,0,1.0,kos, PRIPOMOČKI ZA DOJENJE
Bonboni Gummy Cola,LUMPI,1.39,0,1.0,g, BONBONI 
Želin 3:1,DOLCELA,3.95,0,1.0,kos, INSTANT TORTE; PECIVA
Gazirana pijača Captain Kombucha Original,CAPTAIN KOMBUCHA,2.89,0,0.001,l, PIJAČE
Pirina moka,KOZJANSKI MLIN,2.94,0,1000.0,g, DRUGE VRSTE MOKE
Intimno milo Sensitive,NIVEA,5.49,0,0.001,l, INTIMNA NEGA 
Gel za prhanje Magic Oil Pink Jasmin,FA,2.99,0,0.001,l, TUŠIRANJE IN KOPANJE
Napitek,NUTREND,1.79,0,0.001,l, PREHRANSKA DOPOLNILA
Mešanica stročnic za mineštro,EUROCOMPANY,2.49,0,1.0,g, OSTALA SUHA ZELENJAVA
Gazirana voda,ROEMERQUELLE,0.79,0,1.0,kos,ENIPUKS ENVOGALB ENTENRETNI ;EČAJIP ;EDOV ; EDOV ENARIZAG
Detergent za strojno pomivanje posode,SOMAT,26.99,13.5,1.0,kos, ZA STROJNO POMIVANJE POSODE
Gelfix 4:1,DR.OETKER,1.99,0,1.0,g, INSTANT TORTE; PECIVA
Mehčalec,SILAN,3.99,2.99,0.001,l, MEHČALCI ZA PERILO
Polnozrnati mini riževi vaflji,RICE UP,0.99,0,1.0,g, OSTALO SLANO PECIVO
Šampon za lase Pantene Color Protect Shine,PANTENE,5.19,0,0.001,l, ŠAMPONI
Začimbna mešanica za fine enolončnice,FANT,1.79,0,1.0,g, ZAČIMBE ZA KUHO
Micelarna voda Garnier,GARNIER,7.19,0,0.001,l, ČIŠČENJE OBRAZA
Kokosova moka,SUN NUTS,5.79,0,1.0,g, KOKOSOVA; ROŽIČEVA MOKA; MAK
Jedilna čokolada,MANNER,9.19,0,1000.0,g, JEDILNA ČOKOLADA IN ČOKOLADA TER KAKAV V PRAHU
Ekstra malinin džem,BONNE MAMAN,3.89,0,1.0,g, MARMELADE IN DŽEMI
Deodorant Sport sprej,FA,3.99,0,0.001,l, DEODORANTI (SPRAYI; STICKI…)
Tunina v oljčnem olju,RIO MARE,4.49,0,1.0,g, RIBJE KONZERVE
Bonboniera,PREŠERNOVE KROGLICE,3.39,0,1.0,g, BONBONIERE
Testenine svedri brez glutena,LE VENEZIANE,3.89,0,1.0,g, BREZGLUTENSKA ŽIVILA
Črni poper v zrnu,MAESTRO,2.99,0,1.0,g, ZAČIMBE ZA PEKO
Sadna kašica s hruško in marelico,FRUTEK,1.49,0,1.0,g, SADNE KAŠICE
Krema za obraz Age specialist 65 +,LOREAL,9.59,0,0.001,l, NEGOVALNE KREME; MASKE
Detergent za pomivanje posode,PRIL,3.99,2.79,0.001,l, ZA ROČNO POMIVANJE POSODE
Gel za prhanje,PALMOLIVE,6.29,4.72,0.001,l, TUŠIRANJE IN KOPANJE
Gel za prhanje,PALMOLIVE,4.79,3.59,0.001,l, TUŠIRANJE IN KOPANJE
Izotonični napitek,POWERADE,1.49,0,1.0,l, ENERGIJSKI NAPITKI IN IZOTONIČNE PIJAČE
Pampers hlačne plenice,PAMPERS,17.99,10.79,1.0,kos, PLENICE
Hrana za pse z govedino,HOBBY DOG,3.49,0,1000.0,g, PASJA HRANA V KONZERVAH IN ENKRATNI OBROKI
Pirina polnozrnata moka,KMETIJA NASTRAN,3.64,0,1000.0,g, DRUGE VRSTE MOKE
Mleko Aptamil 1,MILUPA,21.99,0,1.0,g, MLEKO V PRAHU
Mlečna rezina Monte Snack,ZOTT MONTE,0.47,0,1.0,g, MLEČNI RIŽ; DESERTI ...
Deodorant Whitewater sprej,OLD SPICE,4.19,3.23,0.001,l, DEODORANTI (SPRAYI; STICKI…)
Pijača,FENTIMANS,4.69,0,0.001,l, GAZIRANE PIJAČE OSTALIH OKUSOV
Detergent za pranje perila,ARIEL,31.49,18.89,1.0,kos, DETERGENTI ZA PRANJE PERILA
Čvrsti jogurt,MERCATOR,0.35,0,1.0,g, NAVADNI JOGURTI
Bio kokosovo olje,VITAQUELL,5.29,0,1.0,g, OLJE
Instant napitek,ORAKETA,2.99,1.49,1.0,g, INSTANT NAPITKI  
Bazilika v lončku,S&Z BREZ BZ,2.99,0,1.0,kos, SVEŽE ZAČIMBE
Pašteta z zelišči,KODILA,4.19,0,1.0,g, SVEŽI MESNI IZDELKI (KLOBASE; KRVAVICE; TLAČENKE; PAŠTETE…)
Kava z mlekom,EMMI,1.99,0,0.001,l, KAVE
Domača klobasa,MERCATOR RID,13.59,0,0.25,kos, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Fižol Borlotti,BONDUELLE,2.19,0,1.0,g, FIŽOL
Moški copati,HOME,3.69,1.85,1.0,kos, KOPALNIŠKI TEKSTIL
Zeleni poper v zrnu,KOTANYI,1.29,0,1.0,g, ZAČIMBE ZA PEKO
Artičoke z zelišči v sončničnem olju,PONTI,4.59,3.89,1.0,g, ZELENJAVNE SPECIALITETE
Paprinati lončki,LUMPI,1.99,0,1.0,kos, PAPIRNATA GALANTERIJA
Rezine sira Tilzit,VINDIJA SIREVI,2.29,0,1.0,g, SIRI REZINE
Pijača Natural,LOTTE,1.59,0,0.001,l, NEGAZIRANE SADNE PIJAČE
Začimbna mešanica,KOTANYI,1.29,0,1.0,g, MEHIŠKA PREHRANA
Obliži Vivacare Ultrastop A8,VIVACARE,1.49,0,1.0,kos, PRVA POMOČ (OBLIŽI; POVOJI; GAZE)
Bio špageti s kvinojo in paradižnikom,JARDIN BIO,3.89,0,1.0,g, DOLGE IN KRATKE TESTENINE
Bio pirina moka,BIOTOP,2.19,0,1.0,g, MOKA
Balzam za oslabljene lase Vitamin&Strenght,SUBRINA,3.39,0,0.001,l, BALZAMI
Kava Gold Crema,NESCAFE,6.99,0,1.0,g, INSTANT KAVA
Pasja hrana s piščancem in zelenjavnim ragujem/govedino in korenje v omaki,CESAR,3.19,0,1.0,g, PASJA HRANA V KONZERVAH IN ENKRATNI OBROKI
Mandljevo hrustljavo maslo,ROK'S,7.99,0,1.0,g, KREMNI NAMAZI
Fižol Borlotti,BONDUELLE,2.19,0,1.0,g, FIŽOL
Deodorant Mystic Moments Sheabutter&Passion Flower sprej,FA,3.99,0,0.001,l, DEODORANTI (SPRAYI; STICKI…)
Otroška krema Becutan,BECUTAN,4.65,0,0.001,l, NEGA OBRAZA IN TELESA
Deodorant sprej Fresh Naturals,NIVEA,4.59,0,0.001,l, DEODORANTI (SPRAYI; STICKI…)
Keksi Čokolincer,BRODNIK,8.25,0,1.0,g, DOMAČI KEKSI
Pesek za mačje stranišče Compact,VITAKRAFT,4.99,0,1000.0,g, PESEK; ŽAGOVINA
Bio sadna kašica s slivo,HIPP,1.79,0,1.0,g, SADNE KAŠICE
Bio špageti s kvinojo in paradižnikom,JARDIN BIO,3.89,0,1.0,g, DOLGE IN KRATKE TESTENINE
Bio pirina moka,BIOTOP,2.19,0,1.0,g, MOKA
Balzam za oslabljene lase Vitamin&Strenght,SUBRINA,3.39,0,0.001,l, BALZAMI
Zeleni poper v zrnu,KOTANYI,1.29,0,1.0,g, ZAČIMBE ZA PEKO
Artičoke z zelišči v sončničnem olju,PONTI,4.59,3.89,1.0,g, ZELENJAVNE SPECIALITETE
Hrana za pse Darling s perutnino in zelenjavo,DARLING PURINA,8.79,0,1.0,kos, BRIKETIRANA PASJA HRANA
Marmelada Agrisicilia,AGRISICILIA,2.29,0,1.0,g, MARMELADE IN DŽEMI
Desertni preliv,SLADKI GREH,3.49,0,1.0,g, MRVICE; OKRASKI IN DRUGI DODATKI ZA PEKO
Eko detergent za pranje perila,NANA,9.59,5.75,1.0,l, EKOLOŠKA ČISTILA
Pasja hrana s piščancem in zelenjavnim ragujem/govedino in korenje v omaki,CESAR,3.19,0,1.0,g, PASJA HRANA V KONZERVAH IN ENKRATNI OBROKI
Mandljevo hrustljavo maslo,ROK'S,7.99,0,1.0,g, KREMNI NAMAZI
Čistilo za lesene površine,DAX,2.39,0,1.0,l, ČISTILA IN LOŠČILA ZA TALNE PODLAGE
Led žarnica,HOME,3.29,0,1.0,kos, ŽARNICE
Lak za lase,TAFT,4.59,0,0.001,l, OBLIKOVANJE IN UTRJEVANJE LAS
Ploščati špageti,DE CECCO,2.49,0,1.0,g, DOLGE IN KRATKE TESTENINE
Posebna salama s sirom,PIVKA,3.19,0,1.0,g, POLTRAJNE KLOBASE; SALAME; HRENOVKE
Šampon za lase Elseve Argenine Resist za šibke in izpadajoče lase,LOREAL ELSEVE,5.19,0,0.001,l, ŠAMPONI
Goveja jušna osnova v prahu,KNORR,3.89,0,1.0,g, JUŠNE KOCKE
Mehčalec,DUEL,4.19,0,0.001,l, MEHČALCI ZA PERILO
Mandljeno olje Afrodita,AFRODITA,8.09,0,0.001,l, ČIŠČENJE OBRAZA
Male pvc ščipalke,KROKODIL,2.29,0,1.0,kos, PRIPOMOČKI ZA SUŠENJE IN LIKANJE PERILA
Eko sladoled v lončku,INDY&PIPPA,2.49,0,1.0,g, DRUŽINSKI SLADOLEDI
Univerzalna krema,LUMPI,2.29,0,0.001,l, NEGA OBRAZA IN TELESA
Piškoti Maria brez glutena,SCHAR,2.19,1.97,1.0,g, BREZGLUTENSKA ŽIVILA
Propolis na alkoholni osnovi,MEDEX,7.49,0,0.001,l, PREHRANSKA DOPOLNILA
Suhe slive brez koščic,MERCATOR GARDEN GOOD,2.29,0,1.0,g, SUHO SADJE
Zvezek A4,STREET,1.69,0.99,1.0,kos, ZVEZKI
Plenice Pampers Maxi Pack S6,PAMPERS,17.99,10.79,1.0,kos, PLENICE
Ščetka zobna Colgate Slim Soft Charcoal 3-pack,COLGATE,8.59,0,1.0,kos, ZOBNE ŠČETKE
Čistilo za wc školjko,DUCK,2.99,0,0.001,l, ČISTILA ZA WC ŠKOLJKE
Mehčalec,LENOR,6.89,4.48,1.0,l, MEHČALCI ZA PERILO
Detergent za pranje perila Oxi,ARIEL,19.99,10,1000.0,g, DETERGENTI ZA PRANJE PERILA
Gel za prhanje Sensitive Men,NIVEA,5.29,3.69,0.001,l, TUŠIRANJE IN KOPANJE
Detergent za strojno pomivanje posode,SOMAT,36.99,18.5,1.0,kos, ZA STROJNO POMIVANJE POSODE
Otroški vlažni robčki,PAMPERS,13.99,0,1.0,kos, POTOVALNI ROBČKI IN VLAŽILNI TOALETNI PAPIR
Bio riževi vaflji brez soli,BYODO,1.59,0,1.0,g, KRUH; PREPEČENCI; TOASTI
Mlečna kašica s prosenimi kosmiči in kakavom,FRUTEK,1.99,0,1.0,g, SADNE KAŠICE
Malvazija,VINA LAGUNA HISTRIA,6.09,0,1.0,l, BELA VINA
Gel za prhanje Juicy Jasmine,SUBRINA,2.89,0,0.001,l, TUŠIRANJE IN KOPANJE
Instant riževi rezanci brez glutena,MAMA,2.99,0,1.0,g, BREZGLUTENSKA ŽIVILA
Krpe za suho brisanje prahu,SWIFFER,6.69,0,1.0,kos, ČISTILA ZA POHIŠTVO
